标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
《崩坏：星穹铁道》走近星穹——「流萤：海洋防火刻不容缓」,"星核猎手中最为恐怖的危险分子，竟然是一位██████哈喽我是银狼。这期做得不错，提出表扬。希望你们节目能保持住这个水准，不要乱说星核猎手的坏话哦。小鸟哥，下次见。█████与特邀嘉宾瓦尔特先生一起走近星核猎手「萨姆」的爆裂人生！
敬请收看星际和平娱乐特别节目《走近星穹》——「流萤：海洋防火刻不容缓」。

中文CV：
叽米——刘北辰
瓦尔特——彭博",BV1u7421d7Yx,1902552,18586,12445,07:34,2024-06-12
《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」,"「格拉默军规第1条，骑士应为自己的诞生感到荣耀。」

中文CV：
AR-26710 &「萨姆」——宋媛媛&淦子齐
AR-214 &「萨姆」——木子橙&淦子齐
AR-53935 &「萨姆」——斑马&淦子齐
AR-1368 &「萨姆」——金娜&淦子齐

日文CV：
AR-26710 &「萨姆」——楠木灯&笠间淳
AR-214 &「萨姆」——涩谷彩乃&笠间淳
AR-53935 &「萨姆」——草野太一&笠间淳
AR-1368 &「萨姆」——藤原夏海&笠间淳

英文CV：
AR-26710 &「萨姆」——Anale",BV16s421u7NP,3415945,23365,51217,15:32,2024-06-11
《崩坏：星穹铁道》SGF参展视频——「做梦的艺术」,"梦是一种愿望的达成，也是梦者的自我欺骗。

中文CV：
流萤——宋媛媛
开拓者——秦且歌
三月七——诺亚

日文CV：
流萤——楠木灯
开拓者——榎木淳弥
三月七——小仓唯

英文CV：
流萤——Analesa Fisher
开拓者——Caleb Yen
三月七——Skyler Davenport

韩文CV：
流萤——유혜지
开拓者——김명준
三月七——정혜원",BV1GM4m1S7by,2276550,6112,8523,06:21,2024-06-08
《崩坏：星穹铁道》2.3版本「再见，匹诺康尼」前瞻特别节目,"《崩坏：星穹铁道》2.3版本「再见，匹诺康尼」将于2024年6月19日上线，感谢开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
本次特别节目中的兑换码将于6月8日 23:59:59失效，记得尽快兑换哦~",BV1XJ4m1g7pA,2743595,38591,9032,34:24,2024-06-07
《崩坏：星穹铁道》2.3版本PV：「再见，匹诺康尼」,"匹诺康尼的开拓之旅迎来了美好的结局，是时候走向下一站了——而在那之前，向身后的不眠之夜做个正式道别吧。

中文CV：
流萤&「萨姆」——宋媛媛&淦子齐 
花火——赵爽
翡翠——张若瑜
知更鸟——钱琛
螺丝咕姆——赵洋

日文CV：
流萤&「萨姆」——楠木灯&笠间淳
花火——上田丽奈
翡翠——三石琴乃
知更鸟——名冢佳织
螺丝咕姆——内田夕夜

英文CV：
流萤&「萨姆」——Analesa Fisher & Adin Rudd 
花火——Lizzie Freeman
翡翠——Faye Mata
知更鸟——A",BV1uJ4m1g73b,2479760,8566,9141,12:01,2024-06-07
《崩坏：星穹铁道》波提欧角色PV——「牛仔很忙」,"他〇的→他宝贝的
草（一种植物）→喵
傻X→小可爱

「这是什么？」
「我改造了一下你的联觉信标，这下耳根应该可以清净不少。」
「？宝贝的小可爱，喵！」

中文CV：
波提欧——彭博

日文CV：
波提欧——小西克幸

英文CV：
波提欧——Andrew Russell

韩文CV：
波提欧——김단",BV1Zr421j73W,5345788,17100,23877,08:58,2024-05-24
《崩坏：星穹铁道》走近星穹——「波提欧：超级无敌爱你」,"星际和平公司的小可爱们！你们以为在你们这喵了个呜呜伯的小节目里面，让那只欠爱的小鸟对老子放些不负责任的香气，是可以不付出任何代价的吗？
把这当作一次警告吧，可爱宝贝们。
敬请收看星际和平娱乐特别节目《走近星穹》——「波提欧：超级无敌爱你」。

中文CV：
叽米——刘北辰
丹恒——李春胤
波提欧——彭博",BV1PZ421x7d3,2892675,9116,8887,06:41,2024-05-22
《崩坏：星穹铁道》遥远星球之歌VOL.3：我在匹诺康尼听音乐,"梦想之地「匹诺康尼」，一座悬于银河的星际酒店。住客们游走于梦境与现实，享受纸醉金迷的奢华生活。
《崩坏：星穹铁道》「匹诺康尼」音乐由HOYO-MiX团队制作。让我们与HOYO-MiX一起走近这个梦想之地以及她幕后的音乐创作故事。",BV1Yw4m197jA,1534033,8945,5369,15:18,2024-05-13
《崩坏：星穹铁道》EP：「希望有羽毛和翅膀」,"希望在我的灵魂中筑巢栖息，
唱着没有词的歌曲，
似乎永远不会停息。

《希望有羽毛和翅膀》
作曲 Composer：王可鑫 Eli.W (HOYO-MiX)
作词 Lyricist：Ruby Qu
编曲 Arranger：王可鑫 Eli.W (HOYO-MiX)
制作人 Producer：王可鑫 Eli.W (HOYO-MiX)
人声 Vocal Artist：Chevy
木吉他 Acoustic Guitar：陈义
电吉他 Electric Guitar：陈义
架子鼓 Drums：眭逸凡Patrick
",BV1Tf421m7iW,7186953,10272,14238,02:58,2024-05-11
《崩坏：星穹铁道》EP：「使一颗心免于哀伤」,"消除一个生命的痛苦，
平息一种酸辛，
帮助一只昏厥的鸟儿回到巢中。

《使一颗心免于哀伤》
作曲 Composer：王可鑫 Eli.W (HOYO-MiX)
作词 Lyricist：黑金雨
编曲 Arranger：王可鑫 Eli.W (HOYO-MiX)
制作人 Producer：王可鑫 Eli.W (HOYO-MiX)
人声 Vocal Artist：Chevy
木吉他 Acoustic Guitar：赵新博
电吉他 Electric Guitar：赵新博
架子鼓 Drums：眭逸凡Patrick
乐队",BV15x4y1i7m9,4442791,6348,9162,03:27,2024-05-09
《崩坏：星穹铁道》走近星穹——「开拓者•同谐：为了从梦中醒来的明天」,"每个人都会有迷路的时候，犹豫不决，不知道该去往哪个方向。它存在于这片梦境中，也存在于梦境之外的任何地方。
但无需害怕，正如人们会感到迷茫，在某个瞬间，他们也会下定决心，做出一个大胆但又了不起的决定……
无论那是镇静的、欢欣的、愤怒的、还是悲伤的，他们需要的只是一道小小的推力，然后就能迈开步伐，走向属于自己的前方。
我把这小小的力量留给你，并期待你将它带给更多的人……
敬请收看星际和平娱乐特别节目《走近星穹》——「开拓者•同谐：为了从梦中醒来的明天」。 

中文CV：
叽米——刘北辰
米沙——柳知萧",BV1e142167MC,3075048,7967,14687,04:54,2024-05-08
