视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
这集vlog我们拍了十年，致最美好的青春,https://www.bilibili.com/video/BV14b411J7ML,AresserA-Vlog,5153787,67725,550706,500955,210294,240051,1
华农兄弟：兄弟家的鱼跑河里去了，帮他网回来，一网下去还不少,https://www.bilibili.com/video/BV15b41147uu,华农兄弟,2576483,21691,28506,76334,2637,4607,1
【性转版】回家的诱惑,https://www.bilibili.com/video/BV1xb411n7L6,兰彻lancche,4821324,43725,215808,249985,159776,150433,1
哆啦A梦结局背后的秘密？从未播出的黑历史？真相出人意料,https://www.bilibili.com/video/BV1Qb41177Vm,瓶子君152,2596190,5002,134275,159959,4263,52925,1
在中国挑战通宵卖烧烤！为啥美国没有这个？,https://www.bilibili.com/video/BV1Rb411E7yi,我是郭杰瑞,2629431,14318,18880,77128,2064,5204,1
【纯黑】《鬼泣5》一周目无伤S评价攻略解说 第七期,https://www.bilibili.com/video/BV1Cb41147EK,-纯黑-,1477824,5833,75360,64528,1051,19223,1
化身修罗只为守护你！此刻世界将为之颤抖！,https://www.bilibili.com/video/BV1gb41177rt,烟季,7131478,16334,417156,408486,31674,325848,1
破案大师老番茄,https://www.bilibili.com/video/BV1Sb411j75C,老番茄,6506916,15717,51461,137274,2909,26822,1
[LPL春季赛] 3月23日 RNG vs IG,https://www.bilibili.com/video/BV19b411774z,哔哩哔哩英雄联盟赛事,3979450,108489,25914,40583,5791,21636,1
the real suger baby已知最高画质,https://www.bilibili.com/video/BV16b411b71j,一嗷垚,29335737,21879,241165,774012,104220,692741,1
女主人扮恐龙把猫吓的到处飞，直接六亲不认，一脱衣服，猫：妈？,https://www.bilibili.com/video/BV1Qb411x71C,花花与三猫CatLive,2731949,12833,89572,121500,12181,25668,2
华农兄弟：狗狗走丢了一只，用无人机去找一下，看能不能找到,https://www.bilibili.com/video/BV12b411W7WM,华农兄弟,2893987,11438,39288,101558,1895,6395,2
【真人炉石】暗影崛起-最秀新卡发布！,https://www.bilibili.com/video/BV1Bb411s7m9,神奇的老皮,4862491,13356,438811,312111,69923,142672,2
哎呀妈呀！不用烤箱也能做出这么棒的【流心芝士挞】吗？,https://www.bilibili.com/video/BV1rb411p7W9,爱做饭的芋头SAMA,3341911,3557,73565,148263,13101,84635,2
1818黄金眼【在路上：打完电话 他爆发了】,https://www.bilibili.com/video/BV16b411s7NL,1818黄金眼,389539,2689,3573,8082,4690,2813,2
[LPL春季赛] 3月30日 IG vs EDG,https://www.bilibili.com/video/BV1Db411W7FN,哔哩哔哩英雄联盟赛事,2860451,62648,26720,36125,6638,21881,2
号外！全新弹幕功能进入内测阶段！,https://www.bilibili.com/video/BV11b411x7VP,哔哩哔哩弹幕网,856576,9342,6278,32012,3385,4536,2
比《复联4》更虐！漫威不敢拍的复联10次团灭,https://www.bilibili.com/video/BV1hb411x7wM,努力的Lorre,2379375,4627,34282,66360,2403,16094,2
【游戏侦查冰】揭秘游戏氪金抽卡的“黑幕”,https://www.bilibili.com/video/BV1yb411x7P3,芒果冰OL,2310439,27154,270080,223183,36681,87324,2
云南奇葩蔬菜竟这么多！为啥美国蔬菜品种都一样？,https://www.bilibili.com/video/BV1Wb411p76H,我是郭杰瑞,1899841,11376,15150,59504,3008,3961,2
我是超杀女，我来了！,https://www.bilibili.com/video/BV17b411W7Yj,科洛莫瑞兹ChloeMoretz,1390236,2642,29832,53728,4762,9080,2
【C菌】只能用耳朵玩的国产推理游戏！,https://www.bilibili.com/video/BV1rb411x7We,渗透之C君,1365771,14928,49409,67220,5559,32243,2
点外卖的时候备注：”往死里加辣“会怎么样,https://www.bilibili.com/video/BV1Cb411p7TY,楼上的老张,3493574,30917,47062,110215,2368,12617,2
