视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
你把戒指吃下去了啊？...唔？！,https://www.bilibili.com/video/BV1Kt421u7mJ,叶玲秋雨,19238627,20462,973599,1806700,260773,1082890
《 无 缝 衔 接 》,https://www.bilibili.com/video/BV1oM4m1r7ov,流萤Zz,7363475,3778,182897,960151,35933,232290
《鸣潮》公测PV | Waking of a World,https://www.bilibili.com/video/BV1gf421d7iS,鸣潮,9273750,5031,31675,190583,20881,37000
我把中国的历史朝代做成了动画！！！,https://www.bilibili.com/video/BV1af42117jE,是玉木呀,3105042,5003,262634,383051,22096,236673
《黑神话：悟空》WeGame预告 | 2024.8.20同步发售,https://www.bilibili.com/video/BV1wz421e7wS,黑神话悟空,6050943,12253,200658,390569,136386,55483
中式卡点变妆｜愿以此心寄华夏 且将岁月赠山河,https://www.bilibili.com/video/BV1BZ421s7v8,宽宽Kwan,5529790,2094,363724,1165625,20843,150810
"一个视频,带你回到2018",https://www.bilibili.com/video/BV1Ut421M7xw,百万剪辑狮,4129913,12547,207700,333678,38211,197916
原来，不是一份饭3块钱…8年从不间断，给需要的人提供温饱。给三元饭堂拍宣传片。,https://www.bilibili.com/video/BV1Wz42127Di,我是十二是我,4007346,2350,331571,547638,4050,45008
不删,https://www.bilibili.com/video/BV1x1421B7py,逗比的雀巢,6402551,4483,80093,473336,14444,43126
爽文小说都不敢这么写！,https://www.bilibili.com/video/BV1si421X7Dz,KL_qiqi_,4812765,8913,114688,324618,6478,109893
下集想看王妈还是欣答应？,https://www.bilibili.com/video/BV1y7421f73Z,七颗猩猩QKXX,7559264,6638,33831,398588,9566,85942
《十三夔在野》PV首曝：十三元凶现身！究竟怎样的对手才配得上如此优秀的你？,https://www.bilibili.com/video/BV1bJ4m1N7hf,网易逆水寒,2872248,2566,23622,34282,9808,25733
杂交版2.0版本宣传片,https://www.bilibili.com/video/BV15z42127up,潜艇伟伟迷,8135362,1501,274591,561536,69196,128935
【罗翔】刷爆M国信用卡，薅100w后逃离M国，这事不犯法？,https://www.bilibili.com/video/BV1ew4m1U7qW,罗翔说刑法,3678037,12320,26352,149249,10376,13043
千万粉丝UP主开什么车？老番茄座驾首次曝光！,https://www.bilibili.com/video/BV1pz42117HB,Upspeed盛嘉成,2878942,12627,76478,301717,8162,33206
DNF手游开服庆典片《西海岸：Rock and Fight 》,https://www.bilibili.com/video/BV19f421R75X,地下城与勇士手游,2721802,4118,11308,90263,2058,12012
“在闪烁星光下相聚吧！”此刻Memories【洛天依XBDF2024十周年主题曲】,https://www.bilibili.com/video/BV1ds421A7EX,洛天依,553092,849,18127,74622,1792,24295
“哦，他是学新闻学的”,https://www.bilibili.com/video/BV1zi421D7Z9,给我一个镜头V,3319238,5384,171095,390256,29228,109173
评分6.1！咒术回战！一部伟大的作品！【仅限236话后】,https://www.bilibili.com/video/BV1nU411Z7N7,瓶子君152,2979307,6353,63375,189134,23096,38516
是时候升级下装备了，一个工作台就能满足我的诸多需求！,https://www.bilibili.com/video/BV1UD421G7gQ,手工耿,4252981,12450,35178,251954,5143,15862
来了不想走了！（上）,https://www.bilibili.com/video/BV1Cs421w73H,小傲想睡觉,5374619,23899,112636,226569,4484,87268
《悟 空 的 奇 妙 冒 险》,https://www.bilibili.com/video/BV1si421D7r8,芦苇十三少,1602598,143,1477,16271,186,6854
【高燃】你有能力接住这一击吗?,https://www.bilibili.com/video/BV1ez42127FX,含亮老师,1282364,1144,1021,54061,442,3271
苹果M4性能分析：尽力了，但芯片工艺快到头了！,https://www.bilibili.com/video/BV1NJ4m1w7zk,极客湾Geekerwan,1725205,9539,55125,90090,7226,17242
【滨崎步×碧蓝航线】七周年主题曲《Aurora》纪念版MV独家首发！,https://www.bilibili.com/video/BV18z421e7kF,碧蓝航线,5246205,4238,31512,145624,8520,30404
传下去王妈把赵管家忘了,https://www.bilibili.com/video/BV1QT421D7nK,七颗猩猩QKXX,6762352,5206,21163,355801,6323,59479
龙吟麓海，女王之王,https://www.bilibili.com/video/BV1aJ4m1w7Pb,卡琳娜和揉西,2049402,434,4599,47073,2385,10499
为什么中国人喜欢吃炒菜？,https://www.bilibili.com/video/BV11i421D7JD,赛博食录,2443785,8206,7981,88043,2846,21646
当老板到学校跟老师开会,https://www.bilibili.com/video/BV1bE421G7rk,papi酱,2190469,2943,33888,265899,18301,15511
足足等了2个月，终于可以吃上了...,https://www.bilibili.com/video/BV1oT421U7bk,绵羊料理,4301063,4982,68414,271966,7868,26353
这真的是文物？全国8大“不正经”文物集合！,https://www.bilibili.com/video/BV1nr421E7hN,破产兄弟BrokeBros,1254420,3080,24129,60483,6110,20778
细节炸裂！妖镀金身 伪佛横行！《黑神话悟空》逐帧解析,https://www.bilibili.com/video/BV11m421M74b,利维坦mY,2514484,4754,32229,124766,8946,16432
SEVENTEEN 'Cheers to youth' Official MV,https://www.bilibili.com/video/BV1fJ4m1c7dU,SEVENTEEN,978634,12427,62350,108846,51100,51671
汉尼拔的520是怎样度过的,https://www.bilibili.com/video/BV1m1421i7HH,汉尼扳,2371093,2609,46753,332845,11029,26404
【定格动画】Gabu吃 iPhone 5s。【Animist】,https://www.bilibili.com/video/BV1Jz421Y7ct,Animist_Official,1447595,410,5678,180581,7284,28468
如果早知道哥布林也会被…【动捕演员曦曦鱼】,https://www.bilibili.com/video/BV1Tf421d768,曦曦鱼SAKANA,3231717,437,1241,140602,630,13735
【远方的远方还是远方】徒步版MV 我们同那朝霞一起绽放！,https://www.bilibili.com/video/BV16m421K7QB,凤凰传奇,1047588,550,5926,19914,505,3016
塞恩为何低头？,https://www.bilibili.com/video/BV1wZ42147pn,十六van游戏,2442636,741,4403,126340,3441,6833
年轻人谁还没有点反骨在身上的,https://www.bilibili.com/video/BV1Mr421E7sw,王七叶-,6721981,848,4629,345731,1932,19112
为了吃口这玩意儿，半条命没了…,https://www.bilibili.com/video/BV1Wi421X7Tx,盗月社食遇记,2945344,16719,240204,231416,10968,50628
《吃瓜吃到自己身上》,https://www.bilibili.com/video/BV1vZ421s7f5,伤心欲茄222,4626450,1730,13276,532500,22848,32928
【艾热】非常好的《千里万里》，爱来自车迟国,https://www.bilibili.com/video/BV1Yi421X74C,艾热AIR,1622107,566,10903,32894,379,11457
甘肃永远有春天,https://www.bilibili.com/video/BV1ks421A7Ji,李娃娃在这,1482752,1858,163516,350946,2300,40245
当我的朋友失去了双臂和腿，他却说…,https://www.bilibili.com/video/BV1az421e7HP,春雨梦游记,2592881,1384,40487,50837,2520,24471
试着cos成邓紫棋，去邓紫棋的演唱会上唱歌！,https://www.bilibili.com/video/BV1Nr421E7fg,Yui柯基大聪明,5696568,5995,19653,86894,1995,66096
荧子日记：妹妹是用来疼的！,https://www.bilibili.com/video/BV15r421E79A,超帅气的强哥,2071665,1517,8438,282920,6498,47756
15个简单有趣的小食谱～有手就会系列,https://www.bilibili.com/video/BV15i421Q7fT,胡仔一人食,2780515,2857,13630,301912,9564,144318
爱你老妈,https://www.bilibili.com/video/BV1nZ421s7ia,小叮当的一家,2649636,721,25561,348613,452,28474
仙侠剧都不敢这么拍！东方魔修勇闯地下城！,https://www.bilibili.com/video/BV19H4y1g7ax,神奇的老皮,2538876,3191,12417,119613,4746,21627
