视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
回村三天，二舅治好了我的精神内耗,https://www.bilibili.com/video/BV1MN4y177PB,衣戈猜想,52047152,268840,7169115,6011197,2475484,2561474
破亿纪念!【猛男版】新宝岛 4K高清重置加强版,https://www.bilibili.com/video/BV1AM4y1M71p,猛男舞团IconX,44069157,123607,1537747,2896872,549440,970033
【罗翔】我们为什么要读书？,https://www.bilibili.com/video/BV1BK411L7DJ,罗翔说刑法,18938258,161615,909011,1289553,314894,702235
⚡️ 中 国 人 不 蹦 洋 迪 ⚡️,https://www.bilibili.com/video/BV1dR4y1F7Aq,钓可尔太曼,37448206,54620,1628728,2942886,338110,1166442
火柴人 VS 数学(Math),https://www.bilibili.com/video/BV1ph4y1g75E,火柴人AlanBecker,29574794,89297,1712045,2179402,585163,1617558
一位粉丝想看到自己奔跑的样子,https://www.bilibili.com/video/BV1ED4y1Y7dc,影视飓风,10229034,30731,2436084,1739036,171390,601053
『从头看她』1920-2020，中国女性发型的百年变迁,https://www.bilibili.com/video/BV1qm4y1r7BB,朵朵花林,14173026,19170,863546,1586682,104286,454113
【广场往事】《妇仇者联盟》：枪在手，跟鹅走！,https://www.bilibili.com/video/BV1Rq4y1n7CR,导演小策,14502639,136169,1305957,1227240,327774,348857
这才是文化膨胀！！当岩彩画遇上汉服,https://www.bilibili.com/video/BV14U4y1w7fn,莲羊的岩彩学堂,7704636,7998,405980,702407,39473,245170
300天4万公里传遍中国，漂流相机终于回来了！,https://www.bilibili.com/video/BV1gF41117fN,-LKs-,10758307,58212,1190356,1408309,172726,503505
我花了半年时间给猫做了个房子,https://www.bilibili.com/video/BV1614y197xJ,爱鼓捣的邢志磊,27033272,16612,635836,1859091,203722,492009
无屏风表演《口技》还原文言文 ！！！,https://www.bilibili.com/video/BV1JD4y1e7Q4,BBoxer酋长,17435875,19443,735145,1597105,346334,290441
2021届清华美院动画毕设 |《万华镜》——百年党庆，献礼中华五十六个民族,https://www.bilibili.com/video/BV13X4y1P7z7,赶稿人,8383597,19319,850045,1151574,166957,722010
【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,https://www.bilibili.com/video/BV1bW411n7fY,UP-Sings,118827387,626750,4643984,5243102,1461384,2982858
敢 杀 我 的 马？！,https://www.bilibili.com/video/BV1yt4y1Q7SS,哦呼w,108812352,275194,4019156,4638732,619294,2381422
【派大星的独白】一个关于正常人的故事,https://www.bilibili.com/video/BV1qt411j7fV,洛温阿特金森,88476839,394715,5496113,5410343,1143055,3470568
【才浅】15天花20万元用500克黄金敲数万锤纯手工打造三星堆黄金面具,https://www.bilibili.com/video/BV16X4y1g7wT,才疏学浅的才浅,18363276,229548,2722650,2620748,179718,677365
【何同学】80年代的电脑能做什么？苹果麦金塔深度体验,https://www.bilibili.com/video/BV1cy4y1k7A2,老师好我叫何同学,14813908,75021,1966969,1747358,105051,505300
【罗翔】童话镇,https://www.bilibili.com/video/BV1bz4y1r7Ug,核动力路灯,31215712,48449,2119611,2302054,224166,1150118
一段旋律怎么变成一首歌？曝光学生党制作歌曲全过程:),https://www.bilibili.com/video/BV1ti4y1K7uw,Vicky宣宣,21287058,30733,921820,1435410,224254,551451
【孙悟空×林黛玉】名著联姻 | 佛度众生不度我 宁负如来不负卿,https://www.bilibili.com/video/BV1GK411K7Ke,_自叙_,15734628,31383,451557,747149,302137,339944
【木鱼微剧场】《红楼梦》（全集）,https://www.bilibili.com/video/BV1CC4y1a7ee,木鱼水心,18333317,230961,474720,553957,101009,511975
鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,https://www.bilibili.com/video/BV1PK411L7h5,共青团中央,23030023,45830,1008622,1340090,157254,865777
【Minecraft】清明上河图 [灯火阑珊处 人在画中游]【国家建筑师】[北宋翰林张择端原本],https://www.bilibili.com/video/BV1mi4y1b76M,国家建筑师Cthuwork,12567407,51948,898153,1030796,121869,477414
最 强 法 海,https://www.bilibili.com/video/BV1pi4y147tQ,推背兔の,64733768,147898,1392004,2423409,446596,1227893
《 这才叫水视频！》 创意短片,https://www.bilibili.com/video/BV1FE411A7Xd,风羽酱-sdk,11304834,13079,890118,1225715,69976,481610
【盛世中华】超燃！数百位8KRAW摄影师联合摄制，10分钟带你看绝美祖国大好河山！,https://www.bilibili.com/video/BV19E41197Kc,8KRAW,11384960,114048,836003,875398,287254,728078
【才浅手工】魔刀千刃制作 究竟什么叫还原？看完你就明白了,https://www.bilibili.com/video/BV1tJ411W7hw,才疏学浅的才浅,25613881,234415,3109620,2565393,228197,926688
受够了，我真的不行了。好想逃。,https://www.bilibili.com/video/BV1w7411P7jJ,浅葱喵asagiinyo,12194260,35177,753292,741679,237828,398271
【七代小丑/踩点/混剪/高燃】前方高能！欢乐与惊悚的踩点视觉盛宴！希斯莱杰诞辰40周年纪念。,https://www.bilibili.com/video/BV1Jb411W7dH,迪亚瓦尔Diaval,23551963,45139,786994,1079655,136302,832463
73分钟看完柯南所有剧情！史上最全时间线整理！,https://www.bilibili.com/video/BV12J411X7cD,黝黑蜗壳天眼老师,14684708,133018,1331535,1142587,235586,924184
【何同学】我拍了一张600万人的合影...,https://www.bilibili.com/video/BV1Nt4y1D7pW,老师好我叫何同学,17021499,139291,1925499,1956257,161983,525223
【老番茄】史上最骚杀手(第一集),https://www.bilibili.com/video/BV1Wb411v7WN,老番茄,30645692,88667,1512941,1754019,112272,606893
【60帧定格动画】用高达在5分钟内跳完所有MJ的舞蹈,https://www.bilibili.com/video/BV1Yc411h7uQ,Moouyo默铀,6259003,28076,924336,775301,92096,347903
游戏科学新作《黑神话：悟空》13分钟实机演示,https://www.bilibili.com/video/BV1x54y1e7zf,黑神话悟空,53250147,353532,3457687,3194672,1456329,1284263
你被困在2019年10月25日，如何逃出这一天？（三种循环体+随机选项+多结局）,https://www.bilibili.com/video/BV1UE411y7Wy,GoldenEggs,14986790,823501,584760,839003,210875,571170
一个人，造出让40亿人震碎的夜晚！,https://www.bilibili.com/video/BV1zp4y1U7Z5,狂阿弥_,15335926,84393,825696,1136209,78843,382954
龍,https://www.bilibili.com/video/BV1mK411V7wY,丿丶龙猫,18272618,147686,1038760,1542718,37106,595770
《Bad Guy》沙雕翻拍《Fat Guy》MV，送给正在减肥的自己,https://www.bilibili.com/video/BV1ht411L72V,拉宏桑,10517343,15264,559837,817259,83841,271669
相 机 大 战,https://www.bilibili.com/video/BV16Z4y1H7NG,特效小哥studio,7081992,18108,365870,510663,51134,156585
【自制】技术宅UP耗时三个月，自制B站最强小电视！【硬核】【3分钟从草图到实物】,https://www.bilibili.com/video/BV1jE41137eu,稚晖君,7120435,31140,758392,821499,64975,250520
【FGO手书/完结纪念】诀别之时已至，其为放手世界之人,https://www.bilibili.com/video/BV1dW411n7La,泛式,6077043,36700,532436,321296,87555,305729
洛天依，原创《勾指起誓》,https://www.bilibili.com/video/BV1Jb411U7u2,ilem,15955211,47999,615866,784031,115729,517729
10分钟改善斜方肌粗大、溜肩圆肩富贵包、背厚、肩颈背疼痛、高低肩！【周六野Zoey】,https://www.bilibili.com/video/BV1kt411d7Ht,周六野Zoey,43747849,316311,355156,718613,738911,2571572
 【古筝】千本樱——你可见过如此凶残的练习曲,https://www.bilibili.com/video/BV1Sx411T7QQ,墨韵Moyun,61291221,572852,2926425,2660292,403809,1879434
【极乐净土】咬人猫/有咩酱/赤九玖❤155小分队o(*≧▽≦)ツ,https://www.bilibili.com/video/BV1Ys41167aL,=咬人猫=,30506067,95974,552726,491859,178129,548438
【循环向】跟着雷总摇起来！Are you OK！,https://www.bilibili.com/video/BV1es411D7sW,Mr.Lemon,46668108,187878,1019168,1551330,362370,1155597
【何同学】有多快？5G在日常使用中的真实体验,https://www.bilibili.com/video/BV1f4411M7QC,老师好我叫何同学,31917478,228511,2559259,2490932,580246,904648
【Lex】B站历史上意义最重大的10部动画！,https://www.bilibili.com/video/BV1XW411F7L6,LexBurner,12754341,181472,636542,680482,57046,339927
最终鬼畜蓝蓝路,https://www.bilibili.com/video/BV1xx411c7mu,TSA,23249671,287016,178019,805799,123198,480910
【红日】梁逸峰你朗诵这么屌你家里人知道吗？,https://www.bilibili.com/video/BV1Ss411o7vY,吃素的狮子,23323061,187055,219363,442764,88775,396591
惊艳！半年良心作★Minecraft★World of Ansesuta,https://www.bilibili.com/video/BV1js411f7jY,火鸟台风,4675554,57047,56843,126484,11118,139145
主播真会玩鬼畜篇01：我是全英雄联盟最骚的骚猪!,https://www.bilibili.com/video/BV1gs411B7y4,是大腿,35826335,167085,502218,673359,282583,616061
史上容量最大的游戏 300GB的游戏长什么样？,https://www.bilibili.com/video/BV12s411N7g2,神秘店长A,12323785,14995,96458,211629,10834,100967
【高能Rap】你从未看过的家有儿女,https://www.bilibili.com/video/BV1fs411t7EK,伊丽莎白鼠,30469784,153772,762396,996046,333252,769621
千万不要跟声优斗表情包，否则你将毫无胜算,https://www.bilibili.com/video/BV15W411W7NJ,声鱼片儿,7274394,22238,165212,314399,91333,206209
电磁炮真是太可爱了,https://www.bilibili.com/video/BV1xx411c7XW,アイリス,16977771,439519,193699,547578,40257,437305
【散人】大型励志剧 娱乐圈小助理养成计划（20.2.20更新 叶琛番外 程语柔表白遭拒绝）,https://www.bilibili.com/video/BV1vx411K7jb,逍遥散人,35886243,3399440,422566,397311,92114,419074
【小明&老王】此物天下绝响,https://www.bilibili.com/video/BV1Ls41127sG,此物天下绝响,19930672,190895,631396,524485,119827,576175
【面筋哥×波澜哥】我的烤面筋，融化你的心！,https://www.bilibili.com/video/BV1GW411g7mc,还有一天就放假了,59857624,448149,2061976,2056301,745380,1544330
【三无】病名为爱,https://www.bilibili.com/video/BV1Hx411V7n9,三无Marblue,12547932,166549,367073,458701,69250,451988
【电音单曲】我是papi酱,https://www.bilibili.com/video/BV1hs411Q7zf,伊丽莎白鼠,45540137,469941,734226,938774,199778,669231
洛天依，言和原创《普通DISCO》,https://www.bilibili.com/video/BV1zs411S7sz,ilem,20523033,254372,491179,686104,90888,546181
【全明星Rap】黑喂狗！,https://www.bilibili.com/video/BV1Us411d71V,伊丽莎白鼠,56577913,728398,1816801,1987319,527440,1565690
【英雄联盟】2018全球总决赛MV—登峰造极境 Rise,https://www.bilibili.com/video/BV1EW41167Yv,英雄联盟,24796134,68653,473123,568560,158412,450093
【火影忍者】用战斗来祭奠这个世界 ！！,https://www.bilibili.com/video/BV1px411N7Yd,花宫二橙,21126827,206231,518231,620945,147474,598664
【成龙】我的洗发液,https://www.bilibili.com/video/BV1Yx411A7wM,绯色toy,25752857,339880,285206,630228,145101,555869
【炮姐/AMV】我永远都会守护在你的身边！,https://www.bilibili.com/video/BV1Js411o76u,暗猫の祝福,24781126,1473021,1064750,798058,360429,966705
【矢泽妮可】妮可酱，给我来一发最带感的Niconiconi！,https://www.bilibili.com/video/BV1Xs411X7wh,约谈人参,11775457,282360,227813,257924,111159,384747
