视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
自来也老师，这次，我来保护你!,https://www.bilibili.com/video/BV1GS411P74t,牙牙的包裹,6055296,12375,751567,799440,101792,345732
《黑神话：悟空》耗时两年创作独立短片 | 直面天命,https://www.bilibili.com/video/BV1e7421R7sR,一粒林宥嘉,3565602,10136,498863,419765,58407,138886
《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」,https://www.bilibili.com/video/BV16s421u7NP,崩坏星穹铁道,1479008,12449,129028,203569,54336,53388
【毕导】打个赌，你说不出第二种蓝色的水果,https://www.bilibili.com/video/BV1mT421Y7mE,毕导,8765114,16197,147099,417215,20273,101379
王妈大结局前传,https://www.bilibili.com/video/BV12S411P7j3,七颗猩猩QKXX,3447013,2700,14305,235459,3314,33835
咱就是说，当年我们做的比这个好看多了！,https://www.bilibili.com/video/BV1SZ421u7x2,何大爷课堂,3994411,520,3103,384130,2205,48209
爆肝400天，真实的璃月终于被我们还原了,https://www.bilibili.com/video/BV116421f7rM,三国bigbig,888685,2365,135149,167704,8876,58445
当你能够一刀砍出「爆炸伤害」？！脆骨症第七期！！,https://www.bilibili.com/video/BV1t7421d7L5,马里奥红叔,988784,5739,75935,199617,683,25683
【原神整活】这是我们最好的麻醉师,https://www.bilibili.com/video/BV1Nn4y197Fw,罐罐小狗,3788456,1512,139168,355010,9074,180264
《明日方舟》EP - Chase the Light,https://www.bilibili.com/video/BV1Gy411z7WN,明日方舟,805726,5047,62229,129646,18830,38083
你们放假都干嘛啦？,https://www.bilibili.com/video/BV1p4421Q7LE,脱缰凯Kk,2387339,2765,9130,181716,1018,25122
来了不想走了！（下）,https://www.bilibili.com/video/BV1gx4y1b7uw,小傲想睡觉,1812474,17806,74267,113726,1897,41385
“弟子：我打铜人...？！”,https://www.bilibili.com/video/BV177421d7vo,一大筐会飞的草莓,1254863,1046,41899,221110,5195,44311
夕饮,https://www.bilibili.com/video/BV1DT421e7Eh,文武俩兄弟,1022380,2531,54909,214569,7301,12742
林 黛 玉 大 战 原 神,https://www.bilibili.com/video/BV1Km421K79f,神奇的老皮,3721235,4005,31309,222570,29807,114204
记录两岁多宝宝第一次独立出门取快递！,https://www.bilibili.com/video/BV1aw4m1v7bT,小蘑菇Lo1,2050777,645,12023,366788,14730,34709
带泽哥自律还得哄着他才行哈哈哈,https://www.bilibili.com/video/BV1ys421u7GR,花小龙oy,2338987,564,2435,261884,2615,18304
我吃过最好的粽子，不信的话，我倒想试试你的,https://www.bilibili.com/video/BV1Fm421V7WQ,绵羊料理,2043035,2725,40765,146335,2836,16788
【原神】玩家：开卷考试？？ 出题老师：坏了！！！,https://www.bilibili.com/video/BV13r421F7v8,提瓦特调查猿,1460728,933,5822,152026,4553,48824
当代学生真实的精神状态 15.0,https://www.bilibili.com/video/BV1ax4y1b78n,碧月狐,3362927,1020,10507,267798,5988,97495
非洲赋予这支舞独特的生命力！,https://www.bilibili.com/video/BV1Pn4y1X7Gi,蛋特DANTE,1234349,148,12610,309173,4988,40031
我的26岁，在叙利亚建学校,https://www.bilibili.com/video/BV1Gn4y1d7UR,刘开心在叙利亚,1822456,4556,456746,762745,2204,52479
怎样让芙芙心情开心🥰【原神MMD】,https://www.bilibili.com/video/BV1N1421C7EL,Stormz67,1438252,437,15629,248993,8365,72756
为什么床上总是有沙子?,https://www.bilibili.com/video/BV1eb421e7te,对话中的暂停,1296100,672,11868,201878,3252,37414
全力以赴定会拨云见日,https://www.bilibili.com/video/BV1bJ4m1g7sk,李辉羽毛球,2713746,929,11902,284010,13061,39002
你们结束高考后第一件想做的事是什么,https://www.bilibili.com/video/BV131421C7eU,三只狗子,2530331,562,3075,301286,6704,17559
全球巡回试玩启动！《影之刃零》实机演示预告片,https://www.bilibili.com/video/BV14x4y1b77U,影之刃零,3919216,2479,29968,139717,36593,19827
换个方式认识国宝吧！  陶鹰鼎篇！,https://www.bilibili.com/video/BV1fM4m1U7mk,阿虾AIXA,1221737,881,47885,179097,9654,51479
1974年在东南亚！造梗无数！星爷爆笑无厘头神作-《破坏之王》,https://www.bilibili.com/video/BV17w4m1i7hw,林克Liberal,5054342,5622,6481,61150,794,70856
【干货】高考回来发现家里有5个亿怎么办？,https://www.bilibili.com/video/BV1u7421o7tg,闪电侠-flash,1661904,1163,3445,319481,8445,24291
我在台湾生活了15天，发现这就像个巨大的县城！,https://www.bilibili.com/video/BV1q1421C7f1,康哟喂,1703802,18133,27538,91419,7795,24868
快上车，还来得及！2024最火原创月，你少看了几部？【泛式】,https://www.bilibili.com/video/BV1LZ421g7q1,泛式,1142399,5817,33404,115596,3412,18287
头好痒，感觉脑子要长出来了！,https://www.bilibili.com/video/BV1NS411N76w,老耗游戏,2235635,1511,1715,157349,1384,9539
《黑神话：悟空》现已开启预购 | 2024.8.20，直面天命,https://www.bilibili.com/video/BV1ex4y1J7JE,黑神话悟空,5483110,9570,198822,346940,144047,55249
