视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
爆肝400天，真实的璃月终于被我们还原了,https://www.bilibili.com/video/BV116421f7rM,三国bigbig,888685,2365,135149,167704,8876,58445
夕饮,https://www.bilibili.com/video/BV1DT421e7Eh,文武俩兄弟,1022380,2531,54910,214569,7301,12742
记录两岁多宝宝第一次独立出门取快递！,https://www.bilibili.com/video/BV1aw4m1v7bT,小蘑菇Lo1,2050777,645,12023,366788,14730,34710
我的26岁，在叙利亚建学校,https://www.bilibili.com/video/BV1Gn4y1d7UR,刘开心在叙利亚,1822456,4556,456746,762745,2204,52479
我在台湾生活了15天，发现这就像个巨大的县城！,https://www.bilibili.com/video/BV1q1421C7f1,康哟喂,1703802,18133,27538,91419,7795,24868
小潮team集团成立了！,https://www.bilibili.com/video/BV12Z421p774,杜海皇,2841296,23923,133267,234530,3473,77301
高考结束了…我也结束了…,https://www.bilibili.com/video/BV1Sn4y1Q79i,段炼丶Exercise,1871992,730,1922,184090,1718,12244
参加了七次高考的考生采访,https://www.bilibili.com/video/BV1vn4y1977Y,自来卷三木,1993821,1470,3312,297258,6575,15255
北宋皇陵的小麦到底谁在种？【主播说三农】,https://www.bilibili.com/video/BV1wn4y1R7RB,央视农业,944645,2009,16933,154121,2485,6739
【断网补全计划41】doge离世，复制人时代，雪糕刺客无了，当代孟德尔，女大，凉菜三巨头，我的女神，冰山清辉,https://www.bilibili.com/video/BV1Z7421R7tt,瞎问虾猜丶,4154992,762,6337,121331,522,86262
总价值60000块的机票！飞机上待14个小时！他们居然...,https://www.bilibili.com/video/BV1xx4y1J75P,雨哥到处跑,847175,2763,34458,125888,1473,9871
教导主任，你干什么吃的！！这么多情侣不抓？留着过年吗？,https://www.bilibili.com/video/BV141421C781,个大活人,1699525,1587,7618,199358,3616,26107
大学生别高考加油了，先看看四六级和期末考吧,https://www.bilibili.com/video/BV1VS411N7uh,谢谢艺,1318355,204,1543,234366,4372,11640
次元裂缝已开启,https://www.bilibili.com/video/BV1UE421P7sS,Yzou1,791518,878,2590,167659,3349,43201
大胆一点住进公共卫生间,https://www.bilibili.com/video/BV1Gf421Q7zQ,疯狂设计家,2070089,1476,1096,154855,2820,11929
很多人问我后不后悔,https://www.bilibili.com/video/BV1Vz421Y7rR,我是超人cr,2505444,1192,93992,443253,753,39164
闲出屁系列,https://www.bilibili.com/video/BV1hM4m1S7vX,小姜不辣哈,2459233,1021,1874,164045,2033,12949
考完语文：轻舟已过万重山，考完数学：泰坦尼克后空翻,https://www.bilibili.com/video/BV12i421v7ZN,Mango大型纪录片唯一号,3640881,595,713,126748,1049,16095
最能吃苦的一代人，慢慢要退出历史的舞台了,https://www.bilibili.com/video/BV1Ts421u7Wf,点又米,577561,588,6285,218083,303,10982
“回不去的是故乡，到不了的是远方。一个曾经，一个未来。一个承载了内心最初的温柔，一个承载了内心最大的期待～”,https://www.bilibili.com/video/BV12i421v78B,咕咕啊啊咕,1393746,694,5648,76998,1891,24023
同学眼中我的迷惑行为,https://www.bilibili.com/video/BV1ez421b7oF,西维西师傅,3675246,879,6111,563751,11971,41607
我被日本高中女生表白了，直接当大家面说我爱你…,https://www.bilibili.com/video/BV1iE421P7X8,阳桃SunOfPeach,1696119,3256,6253,53763,3028,14542
《这回听懂了》,https://www.bilibili.com/video/BV1yZ421p7ha,伤心欲茄222,2452256,653,6057,456886,20888,23947
甜粽咸粽，还是我这个小杂粽？,https://www.bilibili.com/video/BV1Bw4m1Y73w,惠子你变啥,782728,959,3697,161854,33184,14906
如果给你增长10厘米你会加到哪儿？,https://www.bilibili.com/video/BV1Lf421Q7cC,落九川,2161346,816,2463,78045,589,14065
当代大学生宿舍现状,https://www.bilibili.com/video/BV1Gx4y1b7H4,恶的Y不二,1424243,479,3395,148908,3141,22626
一个粽子竟害得宿舍离心…是南北差异的影响吗,https://www.bilibili.com/video/BV1Mr421w7L1,单易之,1948185,1308,1858,133177,4178,8082
遮遮掩掩，父母怕什么？不明说呢？,https://www.bilibili.com/video/BV1A7421d71h,侃木头哦,725535,449,4614,87959,4477,20097
《 高 考 第 一 个 被 赶 出 考 场 的 考 生 ？！》,https://www.bilibili.com/video/BV1JS411N7d1,小孙ATOM,635063,4139,15128,69091,2049,13692
《现在是大AI时代》,https://www.bilibili.com/video/BV1mz421b7a1,嘞是唐孃孃,865303,787,670,124950,635,5915
一个大学教授在课上自曝抄袭,https://www.bilibili.com/video/BV11w4m1v7iW,为了玲飞护肤纪录片,786566,250,10495,74877,735,6723
"带不够钱去海鲜大排档,点菜的时候遇到这种服务员就很烦",https://www.bilibili.com/video/BV1py41187he,真子日记,1034693,1299,3262,86618,1204,2385
参加她的婚礼，我们都坐上了前男友那一桌…,https://www.bilibili.com/video/BV117421R7k1,绝活阿灿,617922,3661,79625,62125,2712,12352
西游记里的高老庄，怎么会有阴曹地府啊？！,https://www.bilibili.com/video/BV16M4m1S797,虎牙青年Plus,2845725,1001,3201,17657,831,20586
开生蚝肉最讨厌碰到蚝里蟹了！,https://www.bilibili.com/video/BV1R7421R78o,是海鲜梦,2783097,773,602,148458,2922,9606
在现实中！氪金武器真的很强吗？价值六万元的电影手枪！,https://www.bilibili.com/video/BV1vm421V7P5,老李船长,632950,2724,23925,62665,1193,8362
《 山 里 灵 活 的 荧 》,https://www.bilibili.com/video/BV1Aw4m1i7h6,流萤Zz,756567,1600,6570,55375,1449,11009
嘿嘿，精神被他们彻底摧毁啦！【精神污染】,https://www.bilibili.com/video/BV15Z421g7kn,憨小六,2053062,505,984,26846,262,29471
当英语早读迟到！,https://www.bilibili.com/video/BV16J4m1g7GR,一串大福,1518966,463,1332,72490,630,17111
广东人第一次去新疆上学，人都傻了！,https://www.bilibili.com/video/BV1Hs421T72y,拉宏桑,863656,3679,10692,53435,1734,6667
山有扶苏隰有荷华|我用画笔记录夏天,https://www.bilibili.com/video/BV1YM4m1S7pv,画画的老张和面包,438980,710,4334,135449,2162,25520
一年上一当，年年不变样。,https://www.bilibili.com/video/BV1Uz421b7Nx,大圆哥_,770078,764,7909,68855,1018,2596
把你的头像做成手办会怎样？恭喜这5个b...站用户,https://www.bilibili.com/video/BV1N142117cG,坤哥的手工坊,1377474,632,4148,45395,126,16686
今天挑战激活东北人骨子里的DNA！,https://www.bilibili.com/video/BV1xz421b7qN,陈嘉伦整个路人,1501732,128,333,91080,1282,15617
我们的合照不可能有人能在边缘！,https://www.bilibili.com/video/BV1R6421f7fA,神经酋长,854480,42,1706,114185,2930,11577
您的外卖已起飞，请注意查收,https://www.bilibili.com/video/BV19J4m1M7sY,国家电网,681251,560,2810,142910,792,4503
好像恋爱很多年后，惊喜就会变成尴尬…,https://www.bilibili.com/video/BV1ds421M7tE,氛围帅哥杰西咔,1002498,287,2772,66531,2084,7574
