视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
来了不想走了！（下）,https://www.bilibili.com/video/BV1gx4y1b7uw,小傲想睡觉,1812474,17806,74267,113726,1897,41385
我吃过最好的粽子，不信的话，我倒想试试你的,https://www.bilibili.com/video/BV1Fm421V7WQ,绵羊料理,2043035,2725,40765,146335,2836,16788
探秘全球最大超市！100元能买什么？到底有多便宜？,https://www.bilibili.com/video/BV1Kr421c7fk,HOLA小测佬,2446154,5461,18759,58334,5513,35522
每日四菜一汤：宫保鸡丁，清蒸福寿鱼，韭菜炒蛋，白灼上海青，花蛤豆腐汤,https://www.bilibili.com/video/BV1Eb421H7V9,阿蔡美食雕刻,2225085,1625,22735,231211,3240,19690
桥架起来了，坦克开到对岸了！开饭~,https://www.bilibili.com/video/BV157421d7b2,央视军事,1377801,5059,4677,136327,1875,5571
村里的咖啡师今天自制一杯抹茶拿铁,https://www.bilibili.com/video/BV1FM4m1S7zq,小河做个咖啡,1030896,700,1532,130141,2865,9705
当我相信了新疆人的简单吃一点…,https://www.bilibili.com/video/BV19n4y1Q7LM,盗月社食遇记,2234253,19868,68236,177996,8001,19847
60斤芝麻能出多少芝麻油芝麻酱，帅小伙来试一下！,https://www.bilibili.com/video/BV1Y1421C7Xm,记录生活的蛋黄派,952817,3132,15966,76832,596,4560
随机挑战！146元吃红色食物，把酸甜苦辣咸都吃齐！,https://www.bilibili.com/video/BV14w4m1q7wC,一只黑Q,1789228,716,2398,15402,65,22861
狗吃的泡面比人吃的还贵？天价泡面：倒反天罡！,https://www.bilibili.com/video/BV1uy411b77v,穿毛裤的小拉泽,1024076,3692,8197,51331,501,8337
把西班牙黑毛猪腰做成“山东爆炒腰花”，火腿店老板能吃得下不？,https://www.bilibili.com/video/BV1hm42157Gz,西班牙陈挺,681961,775,1436,77359,151,2422
15块60多个菜东北自助盒饭，太香了,https://www.bilibili.com/video/BV1pT421v789,吃不饱仨战士,773222,586,1052,64187,1852,2479
牛排中的劳斯莱斯？熟成90天，这就是你一块卖2000的理由？,https://www.bilibili.com/video/BV13w4m1q79K,哇塞几张,742707,908,14173,40724,862,5271
五百以内的自助，菜品丰富还能无限吃波龙？让三健客带你一探究竟,https://www.bilibili.com/video/BV1Qi421v75V,干饭三健客,1196637,994,4380,26212,1816,6716
探秘全球最孤独餐厅！ 30公里荒无一人，到底吃什么？,https://www.bilibili.com/video/BV1tT421e7xq,Meetfood觅食,1610691,4311,23945,97552,1451,11817
回顾兄弟做的珊瑚鱼，认识菜品多样性,https://www.bilibili.com/video/BV1Df421D7La,美食作家王刚R,662138,5021,13680,45310,4069,3663
只要 5 步，还原消失多年的肉霸堡太香了！,https://www.bilibili.com/video/BV1AM4m1S7Vt,夏叔厨房,551479,147,1654,69347,1362,25817
比利时修道院吃席，原来僧人吃那么好？,https://www.bilibili.com/video/BV1GJ4m1372Q,Yooupi食途,519403,4092,19540,44811,1035,4493
弟弟的早餐，量大管饱肚溜圆。,https://www.bilibili.com/video/BV17t421K7WJ,小吁的芋头,819963,1217,29232,40205,602,3490
每年都要吃一颗杨梅,https://www.bilibili.com/video/BV1Dn4y197vL,一二先生Mr12,2445249,520,839,83469,902,3969
河南的胖东来是如何妙手回春让湖南的步步高涅槃重生,https://www.bilibili.com/video/BV1mJ4m1M7b2,superB太,853171,2250,1273,58458,2371,2143
在家轻松复刻哈利波特里的黄油啤酒,https://www.bilibili.com/video/BV1sD421u7yj,RUA_RUA_,2127869,234,397,49595,2493,9486
一个顶五个的大肠五花竹筒粽，今年吃点不一样的粽子,https://www.bilibili.com/video/BV19J4m1g7ET,李维刚的日常,637356,733,745,52798,242,893
“鱼 要 多 大 田 鸭 多 黑”,https://www.bilibili.com/video/BV1B1421k735,今天还做白日梦,700493,266,2911,46881,17377,9408
特厨探店 |真不一样！郑州老式炒面原来这么好吃!,https://www.bilibili.com/video/BV1KS411N7kv,特厨隋卞,579511,936,2016,49657,2812,3686
韩国女校食堂5900元自助午饭长啥样？（草料哥换食堂了）,https://www.bilibili.com/video/BV1Hy411873w,理查不会降落,826324,932,491,62064,160,1219
猜一下这些海鲜做成的饭盒能卖多少钱一个？ 尽自己小小的一份力，把爱传递下去,https://www.bilibili.com/video/BV1Tr421F7v2,海鲜市场老板娘,414532,219,25790,37178,83,2567
有的时候真的分不清到底谁才是老六,https://www.bilibili.com/video/BV1Vf421Q7Bb,舌尖上的老六,1258280,131,677,53950,454,7023
在家自制榴莲冰粽，买过最失败的榴莲！,https://www.bilibili.com/video/BV1bJ4m1g7zU,神奇海挪,1838461,1585,3199,40358,753,8215
800元一个人，烤乳猪自助，我能吃回本吗？,https://www.bilibili.com/video/BV1Y1421C7yS,熊猫君又来啦,1064010,344,203,3785,188,3104
华农兄弟：杨梅熟了，摘点炒猪大肠，很入味,https://www.bilibili.com/video/BV1q6421f7Wa,华农兄弟,522391,4446,5892,33996,1039,1320
真实体验中国第一超市！一通干饭吃到爽，却说不推荐来？,https://www.bilibili.com/video/BV1wn4y1X7Vo,王师傅和小毛毛,813937,4650,9132,35418,3029,3711
【小石奶凶】原来我一直是一个人…,https://www.bilibili.com/video/BV1t7421d77f,小石奶凶爱香菜,562052,629,411,69136,335,2972
下班到家10分钟，饭好了？,https://www.bilibili.com/video/BV1jD421u7c8,阿宅速食料理,367969,62,1637,46928,1700,34245
这些奇葩粽子你一定没见过！,https://www.bilibili.com/video/BV1az421h74s,唐尼是个der,2826788,730,2304,49447,503,35686
挑战钓鱼大师第三弹，全家都来钓了，第一名喜提神秘大奖！,https://www.bilibili.com/video/BV1A142117hx,大头和珍珍,716311,80,110,1078,7,5263
这才是夏天必备的美食，“冷吃串”有肉有素，大人小孩都爱吃,https://www.bilibili.com/video/BV1gz421Y71Z,胖龙的小生活,600414,1366,2276,18990,293,1260
60斤，认准方法，坚持去做，见证结果。,https://www.bilibili.com/video/BV1Xy411B7nK,营养师齐小明,819597,160,1232,90289,854,4684
沉浸式制作万里木兰,https://www.bilibili.com/video/BV1Cb421e75C,CHAGEE霸王茶姬,529516,177,268,48363,2614,8386
来广西实现水果自由!10块钱8个火龙果震惊我一整年!,https://www.bilibili.com/video/BV11n4y197Po,小紧张的虫虫,510448,2645,2262,23772,976,1465
锦州美食有多好吃,https://www.bilibili.com/video/BV1ux4y1H7a8,李哥我饿了,434754,407,943,42462,2208,2524
小伙在北京打工挣到钱了，回出租屋做一锅麻辣小龙虾，拌上泡面吃过瘾了,https://www.bilibili.com/video/BV1oy411B7rp,咸鱼梦想家vlog,525941,431,797,7483,167,4354
天呐，谁把我厨房蒸了,https://www.bilibili.com/video/BV1ur421F7dY,文礼记果蔬面食,1233082,79,757,3924,102,5648
