视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
《明日方舟》EP - Chase the Light,https://www.bilibili.com/video/BV1Gy411z7WN,明日方舟,805726,5047,62229,129646,18830,38083
8090后当年就是吃了多少细糠，才看不上现在的新歌,https://www.bilibili.com/video/BV1tZ421g74X,八零九零音乐,2519120,18592,18708,57515,8397,49575
周深《去明天》2024B站毕业歌首唱舞台！【B站毕业歌会单品】,https://www.bilibili.com/video/BV1EM4m1z7Aq,卡布叻_周深,1333078,5889,42357,55677,6465,23192
周深《少管我》嘿！元气能量满满！【B站毕业歌会单品】,https://www.bilibili.com/video/BV1jf421R7TD,周深工作室,737264,3683,33490,46187,4111,22059
全程回顾（上）陶喆张韶涵引全场大合唱《永远22！2024bilibili毕业歌会》,https://www.bilibili.com/video/BV13w4m1S767,哔哩哔哩毕业歌会,5918738,4379,5773,16207,4469,6734
邓紫棋：我亲自给你们盘点高音转场挑战名场面！,https://www.bilibili.com/video/BV1Ei421i7is,咪咕音乐官方,899208,492,2520,149083,4956,11451
“如果永远的幸福真的存在” 阿妈的配方《Payphone》翻唱,https://www.bilibili.com/video/BV1qx4y1b7qS,芊芊龍龍,679066,336,7199,135281,1999,27909
当妻子是你的写歌灵感来源 歌曲:Thinking About You 歌手:GRAHAM 翻译:音乐小巢,https://www.bilibili.com/video/BV1r1421y7Zs,ChriSONGS的音乐小巢,2041880,176,7952,324437,3464,68579
张韶涵《起风了》晚霞版 全场大合唱【B站毕业歌会单品】,https://www.bilibili.com/video/BV1E7421o77P,哔哩哔哩直播,1251267,1692,7287,33018,4797,11983
前奏一响，就知道我那迷人的老祖宗又来了,https://www.bilibili.com/video/BV1Cs421u7Bd,盘点音乐2023,604425,19,1722,7484,11,48595
时光代理人新曲「BREAK!」MV公开,https://www.bilibili.com/video/BV1uT421e7Yn,时光代理人,270432,2016,12620,40625,5472,19940
陶喆边走边唱《找自己》校园零距离！【B站毕业歌会单品】,https://www.bilibili.com/video/BV1nz421h76u,同济大学,920589,1186,6516,28848,6356,5738
【王霏霏Fei】乘风2024王霏霏郑妮可孙夏铃《精卫》合作舞台,https://www.bilibili.com/video/BV17y411873c,王霏霏Fei,469315,2301,21631,31094,4602,11616
难怪要封Tiktok！“打倒帝国主义”刷屏国外，我打我自己？,https://www.bilibili.com/video/BV144421Q77D,音乐Wu哥,970995,2327,496,36703,820,2143
インソムニア (INSOMNIA) – Eve Music Video,https://www.bilibili.com/video/BV14y41187e4,Eve_official,252788,685,12416,32388,3517,18173
全新的鹿，这次不是翻唱！原唱本尊驾到！【《三国：谋定天下》游戏主题曲】,https://www.bilibili.com/video/BV1Gx4y1b7dZ,鹿火CAVY,945004,358,3978,24145,443,4733
怎么我也要穿这个..,https://www.bilibili.com/video/BV1iJ4m1g7hE,杏绿色GinkgoWM,234803,90,1654,40608,467,18099
张韶涵《亲爱的，那不是爱情》大声唱出青春！【B站毕业歌会单品】,https://www.bilibili.com/video/BV18b421i7Nb,舞蹈区小锦鲤,1087960,778,2721,11449,2121,5184
【补档】【AI稷下学院】离别开出花,https://www.bilibili.com/video/BV1Bm421L7zV,王者AI荣耀,820077,30,233,1233,15,14068
“献给即将或已经毕业的你”洛天依《去明天》2024毕业歌,https://www.bilibili.com/video/BV1Yi421i79T,洛天依,213475,346,11103,37479,1661,12869
张韶涵AK刘彰《快乐崇拜2024》回忆杀疯了【B站毕业歌会单品】,https://www.bilibili.com/video/BV13Z421p7Sg,叫我AK就好了,786128,632,2387,13855,1504,5664
【B站毕业歌】37所高校联动唱响《去明天》｜全国高校版,https://www.bilibili.com/video/BV1yJ4m1g7AK,大家的音乐机,792415,1327,4816,23076,2425,8419
陶喆二十二岁的《二十二》！【B站毕业歌会单品】,https://www.bilibili.com/video/BV1Ef421R7Z2,综艺哔哔机,635826,1252,8870,17451,5443,5005
【Hi-Res】I Got Smoke - Explicit Ver.,https://www.bilibili.com/video/BV1Hn4y1d7Tz,V在燃烧怎么没了,2843933,8316,243293,322061,75897,159455
《三国：谋定天下》同盟主题曲《乱世千秋》今日首发，各大同盟主播首唱！,https://www.bilibili.com/video/BV1ob421e76j,三国谋定天下,1164365,28,334,7251,201,1443
Hi B站的朋友们大家好! 我是Adam Lambert,https://www.bilibili.com/video/BV1sT421e7aa,AdamLambert_CN,738395,630,11612,72202,1879,3566
还能再见,https://www.bilibili.com/video/BV1Jy411z7AA,Luminous_J,321638,608,10955,25118,3987,6188
国外声乐老师如何评价 周深《Monster》舞台 REACTION,https://www.bilibili.com/video/BV1T142117QJ,JKAI杰凯,503610,5084,7491,22887,408,2015
【RAY评】Faouzia的最佳舞台！黄宣超绝改编方大同！歌手第五期上！,https://www.bilibili.com/video/BV1di421v7yW,阿张RayZhang,551761,11733,2339,19770,665,1644
那些只打高端局的音乐！(第二弹),https://www.bilibili.com/video/BV16x4y1H7M1,爱笑的小桑,5397054,2817,41921,122417,1847,548710
还有谁要和我斗琴吗？哈哈哈,https://www.bilibili.com/video/BV1L1421y7oF,郭芳菲Fiona,1426828,200,447,104845,2215,7425
《三国：谋定天下》游戏音乐实录！千年前的英雄，激荡中重燃热血！,https://www.bilibili.com/video/BV1U1421y7Q3,XSO西安交响乐团,1135934,5,285,5604,84,2104
陶喆《爱，很简单》催泪现场【B站毕业歌会单品】,https://www.bilibili.com/video/BV18r421c7af,陶喆的音乐产房,441191,1190,7195,14534,3919,4278
BABYMONSTER - ‘LIKE THAT’ DANCE PERFORMANCE VIDEO,https://www.bilibili.com/video/BV1YD421M7ei,BABYMONSTER_YG,269990,4753,4461,22145,1297,8914
【晚安大小姐】，但歌剧版😆,https://www.bilibili.com/video/BV1Sz421h7fX,洪之光,432455,647,8056,45420,9626,6244
晚安大小姐原版,https://www.bilibili.com/video/BV1aC41177q8,這个我是真喜欢,7029761,5106,26832,264356,185974,152986
【乘风2024】四公舞台《Nobody》陈昊宇 、谢金燕、袁娅维 、孙夏铃 、郑妮可、万妮达,https://www.bilibili.com/video/BV1Qr421c7J9,陈昊宇,288777,1850,12264,19901,1221,6024
《在加纳共和国离婚》/ 翻唱 by 阿萨&艾因,https://www.bilibili.com/video/BV1Vi421e7eg,阿萨Aza,117366,623,13863,18111,2759,9350
心如止水又杀回来了,https://www.bilibili.com/video/BV1wZ421s7a3,蛋某人音乐,777161,22,3167,16019,44,99456
“咽下那些风沙，你才能慢慢长大”,https://www.bilibili.com/video/BV1Mz421h7S7,Sun太阳风,2913079,172,2656,30243,318,69471
鸟叔MV女主才是经典！全是韩国大热爱豆，网友：以前光看鸟叔了,https://www.bilibili.com/video/BV1fw4m1v7ry,Music郑在看,415090,113,223,1449,5,6164
【F1 meme】当别人问你怎么只有一件皮肤的时候，我：,https://www.bilibili.com/video/BV1Ny411z7cp,浑元Rysn,382272,223,739,59430,350,3262
盘点车库隔空对唱。,https://www.bilibili.com/video/BV18t421K7Vj,Pan点音乐,1135904,21,148,2101,10,8643
2024年爆火热梗小曲，你可能刷到过无数次，却不知道歌名！,https://www.bilibili.com/video/BV1gz421Y7yf,Da圣音乐,2114915,227,3973,18401,107,105610
柬埔寨小公主再登央视唱中文歌 网友：开口跪！,https://www.bilibili.com/video/BV13S411P76A,央视网快看,342276,596,1136,20497,1010,2469
