弹幕所在位置,弹幕内容,弹幕发布时间
00:09,"""mhy，一款年轻人的新型准点报时器""",2023-10-10 12:00:53
00:32,"""我将扭转万象""",2023-10-10 12:01:17
00:31,"""扭转万象""",2023-10-10 12:01:28
00:30,"""扭转万象""",2023-10-10 12:01:36
00:26,"""我将，扭转万象""",2023-10-10 12:01:41
00:30,"""扭转万象！！！""",2023-10-10 12:01:46
00:12,"""镜流不歪！！！！！！！！！！！！！！！！！！！""",2023-10-10 12:01:46
00:50,"""许愿0+1不歪啊啊啊啊""",2023-10-10 12:01:48
00:27,"""云五小曲""",2023-10-10 12:02:01
00:39,"""音乐还是好到没得评""",2023-10-10 12:02:07
01:24,"""熟悉的旋律！！""",2023-10-10 12:02:08
01:07,"""真美呀""",2023-10-10 12:02:11
01:00,"""这里太好听了""",2023-10-10 12:02:13
00:01,"""镜流大招:呦~""",2023-10-10 12:02:17
01:25,"""云五的小曲""",2023-10-10 12:02:26
00:25,"""我的手↓""",2023-10-10 12:02:28
01:39,"""杜冥鸦老师配的绝了""",2023-10-10 12:02:38
00:42,"""许愿镜流不歪，出必还愿！""",2023-10-10 12:02:39
00:57,"""BGM杀疯了""",2023-10-10 12:02:41
01:21,"""云五的小曲""",2023-10-10 12:02:43
01:20,"""云五的小曲儿""",2023-10-10 12:02:45
00:30,"""扭转万象""",2023-10-10 12:02:47
01:22,"""云五の小曲""",2023-10-10 12:02:50
01:27,"""[前方高能]""",2023-10-10 12:02:51
01:21,"""云五的小曲出现了！""",2023-10-10 12:02:52
01:21,"""云五的小曲""",2023-10-10 12:02:53
00:02,"""师傅傅！！！我终于等到你！！！""",2023-10-10 12:02:55
01:27,"""[前方高能]""",2023-10-10 12:03:01
00:30,"""《扭转万象！》""",2023-10-10 12:03:02
01:04,"""bgm太神了""",2023-10-10 12:03:03
01:27,"""[前方高能]""",2023-10-10 12:03:07
01:21,"""云上五骁の小曲""",2023-10-10 12:03:09
01:18,"""她真好看""",2023-10-10 12:03:14
00:48,"""许愿10连双黄镜流出来冲648""",2023-10-10 12:03:17
00:23,"""又是这段旋律！云上五骁都有！""",2023-10-10 12:03:17
01:29,"""还是忘不了那个表情""",2023-10-10 12:03:29
01:07,"""这个好像是景元""",2023-10-10 12:03:30
01:25,"""出现了，云五的小曲""",2023-10-10 12:03:32
01:37,"""上面挂的是刃?""",2023-10-10 12:03:33
01:21,"""云上の小曲""",2023-10-10 12:03:39
01:35,"""帅炸了""",2023-10-10 12:03:44
01:37,"""音乐组稳定发挥""",2023-10-10 12:03:58
00:25,"""太美了，剑出 无回""",2023-10-10 12:03:59
01:21,"""云五的小曲""",2023-10-10 12:03:59
01:23,"""这个调！又是这个！云上五骁前面三位pv都有这个调调！""",2023-10-10 12:04:07
01:30,"""这里旋律和彦卿的好像！""",2023-10-10 12:04:08
01:21,"""这一段音乐让人想到刃的pv后面那段音乐""",2023-10-10 12:04:09
01:23,"""云五的小曲～""",2023-10-10 12:04:12
