视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
自来也老师，这次，我来保护你!,https://www.bilibili.com/video/BV1GS411P74t,牙牙的包裹,6182506,12542,765273,812645,103719,352670
《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」,https://www.bilibili.com/video/BV16s421u7NP,崩坏星穹铁道,2240088,17268,172105,273345,66640,75111
《黑神话：悟空》耗时两年创作独立短片 | 直面天命,https://www.bilibili.com/video/BV1e7421R7sR,一粒林宥嘉,3701780,10518,513426,432997,60250,143350
爆肝400天，真实的璃月终于被我们还原了,https://www.bilibili.com/video/BV116421f7rM,三国bigbig,980191,2526,146657,181289,9780,66480
咱就是说，当年我们做的比这个好看多了！,https://www.bilibili.com/video/BV1SZ421u7x2,何大爷课堂,4105072,535,3250,395651,2305,50186
王妈大结局前传,https://www.bilibili.com/video/BV12S411P7j3,七颗猩猩QKXX,3640398,2751,14660,241665,3390,35457
当你能够一刀砍出「爆炸伤害」？！脆骨症第七期！！,https://www.bilibili.com/video/BV1t7421d7L5,马里奥红叔,1050666,5786,76830,202229,695,27252
【毕导】打个赌，你说不出第二种蓝色的水果,https://www.bilibili.com/video/BV1mT421Y7mE,毕导,8903326,16414,149649,423943,20698,103237
夕饮,https://www.bilibili.com/video/BV1DT421e7Eh,文武俩兄弟,1256789,2804,62131,253622,8279,15604
来了不想走了！（下）,https://www.bilibili.com/video/BV1gx4y1b7uw,小傲想睡觉,1938014,18057,76455,116851,1966,43362
【原神整活】这是我们最好的麻醉师,https://www.bilibili.com/video/BV1Nn4y197Fw,罐罐小狗,3890205,1533,141512,359628,9206,186690
“弟子：我打铜人...？！”,https://www.bilibili.com/video/BV177421d7vo,一大筐会飞的草莓,1285833,1064,42997,225729,5342,45434
为什么床上总是有沙子?,https://www.bilibili.com/video/BV1eb421e7te,对话中的暂停,1352587,706,12371,210577,3428,39270
你们结束高考后第一件想做的事是什么,https://www.bilibili.com/video/BV131421C7eU,三只狗子,2607016,582,3224,308604,6938,18071
